family	treatment_iri	figure_iri	description	image_url	md5
Echinorhinidae	<http://treatment.plazi.org/id/362D2832DA203E460AC1FB6FFCC9F833>	<http://dx.doi.org/10.5281/zenodo.2637270>	FIGURE 17. Echinorhinus sp. 1 (Echinorhinidae) (A–D), Hexanchus griseus (Hexanchidae) (E–H), and Chiloscyllium sp. 1 (Hemiscylliidae) (I–K). A. Lateral view of female (SL-108). B. Ventral view of head of female (SL-108). C. Teeth of upper jaw of female (SL-108). D. Teeth of lower jaw of female (SL-108). E. Lateral view of immature male (SL-106). F. Ventral view of head of female (SL-91). G. Teeth of upper jaw of female (SL-91). H. Teeth of lower jaw of female (SL-91). I. Lateral view of mature male. J. Ventral view of head of mature male (SL-59). K. Dorsal view of head and trunk of mature male (SL-59).	https://zenodo.org/record/2637270/files/figure.png	500c8793c75c5f420b1a7285d55970be
Nothridae	<http://treatment.plazi.org/id/03C90B6DFFF1783CFE2DFA5BFD18FF63>	<http://dx.doi.org/10.5281/zenodo.5234017>	Figures 1–2. Nothrus cotopaxiensis n. sp., larva. (1) Dorsal view. (2) Ventral view.	https://zenodo.org/record/5234017/files/figure.png	93cae96a398bd59cc58ca966ef6e6f83
Nothridae	<http://treatment.plazi.org/id/03C90B6DFFF1783CFE2DFA5BFD18FF63>	<http://dx.doi.org/10.5281/zenodo.5234019>	Figures 3–8. Nothrus cotopaxiensis n. sp., adult. (3) Dorsal view. (4) Ventral view. (5) Fragment of prodorsum. (6) Tip of sensillus. (7) Seta c1. (8) Seta le.	https://zenodo.org/record/5234019/files/figure.png	075b07595f2471f244ad4b7e6bf8cf35
Nothridae	<http://treatment.plazi.org/id/03C90B6DFFF57828FE06FF76FD18FE93>	<http://dx.doi.org/10.5281/zenodo.5234023>	Figures 9–17. Nothrus glaesarius n. sp., larva. (9) Dorsal view. (10) Ventral view. (11) Seta c1. (12) Seta c2. (13) Seta c3. (14) Seta f1. (15) Seta f2. (16) Seta h2. (17) Seta h1.	https://zenodo.org/record/5234023/files/figure.png	510945ac04c85f6f4e268970694689e4
Archipsyllidae	<http://treatment.plazi.org/id/039D6462FFB1FFD66FA66ABFA3C8FEDB>	<http://dx.doi.org/10.5281/zenodo.1181684>	FIGURE 1. Dinmopsylla semotagen. etsp.nov., holotype QMF 58948.	https://zenodo.org/record/1181684/files/figure.png	463bef29a5d557f432f2f5f5f1b9d3a3
Archipsyllidae	<http://treatment.plazi.org/id/03A4B83DC0150E1DBA90BE7E05DD80A2>	<http://dx.doi.org/10.5281/zenodo.262652>	FIGURE 1. Burmopsylla maculata gen. et sp. nov., male. A – B. Habitus of holotype EMTG BU- 001053.	https://zenodo.org/record/262652/files/figure.png	ae76bdeb88df199414b99ddff2f8aec0
Archipsyllidae	<http://treatment.plazi.org/id/03A4B83DC0150E1DBA90BE7E05DD80A2>	<http://dx.doi.org/10.5281/zenodo.262653>	FIGURE 2. Burmopsylla maculata gen. et sp. nov., female. A – B. Habitus of paratype EMTG BU- 001056; C. Habitus of paratype EMTG BU- 001087.	https://zenodo.org/record/262653/files/figure.png	36513827078c9ff1da102695f424b9b1
Squalidae	<http://treatment.plazi.org/id/03E487D4FF92FFDFFC8E2ACDFBB1F838>	<http://dx.doi.org/10.5281/zenodo.3738322>	FIG. 15. — Map of distribution of Squalus melanurus Fourmanoir, 1979 (●) and S. bucephalus Last, Séret & Pogonoski, 2007 (●) in the Coral Sea. A: holotype of S. melanurus.	https://zenodo.org/record/3738322/files/figure.png	533e89ee4322bcb476080fd8c3ff4aca
Squalidae	<http://treatment.plazi.org/id/03E487D4FF9CFFDAFC722AADFB7AFD47>	<http://dx.doi.org/10.5281/zenodo.3738292>	FIG. 1. — Squalus melanurus Fourmanoir,1979 in lateral view:A, MNHN-IC-1980-0460 (holotype of S. melanurus), adult male,670 mm TL;B, MNHN-IC-1978-0693 (holotype of S. rancureli Fourmanoir, 1979), adult male,680 mm TL;C, MNHN-IC-2002-1392, adult female,665 mm TL; D, MNHN-IC-1997-3619, juvenile female, 527 mm TL. Scale bars: 50 mm.	https://zenodo.org/record/3738292/files/figure.png	83cbce201bb4a587f7bd906520ca7594
Squalidae	<http://treatment.plazi.org/id/03E487D4FF9CFFDAFC722AADFB7AFD47>	<http://dx.doi.org/10.5281/zenodo.3738294>	FIG. 2. — Head in ventral view of Squalus melanurus Fourmanoir, 1979. A, MNHN-IC-1997-3619, juvenile female, 527 mm TL. B, MNHN-IC-1980-0460 (holotype of S. melanurus), adult male, 670 mm TL; C, MNHN-IC-1978-0693 (holotype of S. rancureli Fourmanoir, 1979), adult male, 680 mm TL. Scale bars: 50 mm.	https://zenodo.org/record/3738294/files/figure.png	179be33f491bde8d4ec1d9d4310127ed
Hypsimetopidae	<http://treatment.plazi.org/id/03F50154FA26FFB3FF75FD4A7269FA0D>	<http://dx.doi.org/10.5281/zenodo.207634>	FIGURE 2. Andhracoides shabuddin gen. nov., sp. nov. Holotype male, AM P. 81105: A. lateral view; B, dorsal view; C, head and pereonites 1 – 3; D, pleotelson; E, paratype female, AM P. 81106, lateral view. Scale bars = 5 mm.	https://zenodo.org/record/207634/files/figure.png	7c84707b1558d3abf9ac463999299892
Hypsimetopidae	<http://treatment.plazi.org/id/03F50154FA26FFB3FF75FD4A7269FA0D>	<http://dx.doi.org/10.5281/zenodo.207635>	FIGURE 3. Andhracoides shabuddin gen. nov., sp. nov., head. Paratype male, AM P. 81107: A, head, lateral view; B, dorsal view; C, antennula and antenna; D, antennula with enlargements of distal articles; E, paratype female, AM P. 81108, head and pereopod I lateral view. Scale bars = 1 mm.	https://zenodo.org/record/207635/files/figure.png	5c41462df511e29cc62a776456bcb458
Hypsimetopidae	<http://treatment.plazi.org/id/03F50154FA26FFB3FF75FD4A7269FA0D>	<http://dx.doi.org/10.5281/zenodo.207636>	FIGURE 4. Andhracoides shabuddin gen. nov., sp. nov. Paratype male, AM P. 81107. Mandible: A, left palp, dorsal view; B, right gnathal tip, medial view; C, left, medial view; D, left gnathal margin, dorsal view; E, right gnathal margin, ventral view; F, paragnath, ventral view. Scale bars = 0.5 mm.	https://zenodo.org/record/207636/files/figure.png	2209014a814856b4397b4dabef4d8293
